PARTICIPANT,Gender,AgeRange,Experience,Education,Time,PPcStandard,PPcPaired,ParallelSets,Sunburst
1,f,30:39,"5.5+",Bachelors,301:400,5,3,3,3
2,f,30:39,"5.5+",Bachelors,401:500,4,3,3,5
3,f,40:49,"5.5+",Masters,501:600,3,4,3,3
4,f,50:59,"5.5+",Bachelors,101:200,3,5,2,4
5,f,30:39,"0.5:3",Masters,601:700,4,4,4,4
6,f,30:39,"3.5:5",Bachelors,401:500,4,5,2,6
7,m,20:29,"0.5:3",Bachelors,101:200,6,4,3,5
8,f,60:69,"5.5+",Masters,601:700,3,5,2,3
9,f,50:59,"5.5+",Bachelors,501:600,5,5,4,3
10,m,20:29,"3.5:5",Masters,201:300,5,3,3,3
